	12_st_oakland	16_st_mission	19_st_oakland	24_st_mission	antioch	ashby	balboa_park	bayfair	berryessa	castro_valley	civic_center	coliseum	colma	concord	daly_city	downtown_berkeley	dublin_pleasanton	el_cerrito_del_norte	el_cerrito_plaza	embarcadero	fremont	fruitvale	glen_park	hayward	lafayette	lake_merritt	macarthur	millbrae	milpitas	montgomery	n_berkeley	n_concord	oak	orinda	pittsburg_bay_point	pittsburg_center	pleasant_hill	powell	richmond	rockridge	s_hayward	s_san_francisco	san_bruno	san_leandro	sfo	union_city	w_dublin	w_oakland	walnut_creek	warm_springs
12_st_oakland	0.0	9.88	0.35	10.76	37.02	3.61	13.57	11.04	38.41	14.04	8.77	5.52	16.95	20.84	15.35	4.81	24.04	9.9	8.06	7.46	23.85	3.41	12.42	13.9	11.59	0.66	1.87	24.35	35.37	7.82	5.86	23.07	8.61	7.83	27.95	30.85	16.77	8.27	12.23	3.44	16.85	18.88	21.31	8.48	23.54	20.64	22.44	1.59	15.05	28.49
16_st_mission	9.88	0.0	10.23	0.88	46.9	13.49	3.69	20.45	47.82	23.45	1.11	14.93	7.07	30.72	5.47	14.69	33.45	19.78	17.94	2.42	33.26	12.82	2.54	23.31	21.47	10.07	11.75	14.47	44.78	2.06	15.74	32.95	18.02	17.71	37.83	40.73	26.65	1.61	22.11	13.32	26.26	9.0	11.43	17.89	13.66	30.05	31.85	8.29	24.93	37.9
19_st_oakland	0.35	10.23	0.0	11.11	36.67	3.26	13.92	11.39	38.76	14.39	9.12	5.87	17.3	20.49	15.7	4.46	24.39	9.55	7.71	7.81	24.2	3.76	12.77	14.25	11.24	1.01	1.52	24.7	35.72	8.17	5.51	22.72	8.96	7.48	27.6	30.5	16.42	8.62	11.88	3.09	17.2	19.23	21.66	8.83	23.89	20.99	22.79	1.94	14.7	28.84
24_st_mission	10.76	0.88	11.11	0.0	47.78	14.37	2.81	21.33	48.7	24.33	1.99	15.81	6.19	31.6	4.59	15.57	34.33	20.66	18.82	3.3	34.14	13.7	1.66	24.19	22.35	10.95	12.63	13.59	45.66	2.94	16.62	33.83	18.9	18.59	38.71	41.61	27.53	2.49	22.99	14.2	27.14	8.12	10.55	18.77	12.78	30.93	32.73	9.17	25.81	38.78
antioch	37.02	46.9	36.67	47.78	0.0	36.89	50.59	48.06	75.43	51.06	45.79	42.54	53.97	16.18	52.37	38.09	61.06	43.18	41.34	44.48	60.87	40.43	49.44	50.92	25.43	37.68	35.15	61.37	72.39	44.84	39.14	13.95	45.63	29.19	9.07	6.17	20.25	45.29	45.51	33.58	53.87	55.9	58.33	45.5	60.56	57.66	59.46	38.61	21.97	65.51
ashby	3.61	13.49	3.26	14.37	36.89	0.0	17.18	14.65	42.02	17.65	12.38	9.13	20.56	20.71	18.96	1.2	27.65	6.29	4.45	11.07	27.46	7.02	16.03	17.51	11.46	4.27	1.74	27.96	38.98	11.43	2.25	22.94	12.22	7.7	27.82	30.72	16.64	11.88	8.62	3.31	20.46	22.49	24.92	12.09	27.15	24.25	26.05	5.2	14.92	32.1
balboa_park	13.57	3.69	13.92	2.81	50.59	17.18	0.0	24.14	51.51	27.14	4.8	18.62	3.38	34.41	1.78	18.38	37.14	23.47	21.63	6.11	36.95	16.51	1.15	27.0	25.16	13.76	15.44	10.78	48.47	5.75	19.43	36.64	21.71	21.4	41.52	44.42	30.34	5.3	25.8	17.01	29.95	5.31	7.74	21.58	9.97	33.74	35.54	11.98	28.62	41.59
bayfair	11.04	20.45	11.39	21.33	48.06	14.65	24.14	0.0	27.37	3.0	19.34	5.52	27.52	31.88	25.92	15.85	13.0	20.94	19.1	18.03	12.81	7.63	22.99	2.86	22.63	10.38	12.91	34.92	24.33	18.39	16.9	34.11	8.61	18.87	38.99	41.89	27.81	18.84	23.27	14.48	5.81	29.45	31.88	2.56	34.11	9.6	11.4	12.16	26.09	17.45
berryessa	38.41	47.82	38.76	48.7	75.43	42.02	51.51	27.37	0.0	30.37	46.71	32.89	54.89	59.25	53.29	43.22	40.37	48.31	46.47	45.4	14.56	35.0	50.36	24.51	50.0	37.75	40.28	62.29	3.04	45.76	44.27	61.48	35.98	46.24	66.36	69.26	55.18	46.21	50.64	41.85	21.56	56.82	59.25	29.93	61.48	17.77	38.77	39.53	53.46	9.92
castro_valley	14.04	23.45	14.39	24.33	51.06	17.65	27.14	3.0	30.37	0.0	22.34	8.52	30.52	34.88	28.92	18.85	10.0	23.94	22.1	21.03	15.81	10.63	25.99	5.86	25.63	13.38	15.91	37.92	27.33	21.39	19.9	37.11	11.61	21.87	41.99	44.89	30.81	21.84	26.27	17.48	8.81	32.45	34.88	5.56	37.11	12.6	8.4	15.16	29.09	20.45
civic_center	8.77	1.11	9.12	1.99	45.79	12.38	4.8	19.34	46.71	22.34	0.0	13.82	8.18	29.61	6.58	13.58	32.34	18.67	16.83	1.31	32.15	11.71	3.65	22.2	20.36	8.96	10.64	15.58	43.67	0.95	14.63	31.84	16.91	16.6	36.72	39.62	25.54	0.5	21.0	12.21	25.15	10.11	12.54	16.78	14.77	28.94	30.74	7.18	23.82	36.79
coliseum	5.52	14.93	5.87	15.81	42.54	9.13	18.62	5.52	32.89	8.52	13.82	0.0	22.0	26.36	20.4	10.33	18.52	15.42	13.58	12.51	18.33	2.11	17.47	8.38	17.11	4.86	7.39	29.4	29.85	12.87	11.38	28.59	3.09	13.35	33.47	36.37	22.29	13.32	17.75	8.96	11.33	23.93	26.36	2.96	28.59	15.12	16.92	6.64	20.57	22.97
colma	16.95	7.07	17.3	6.19	53.97	20.56	3.38	27.52	54.89	30.52	8.18	22.0	0.0	37.79	1.6	21.76	40.52	26.85	25.01	9.49	40.33	19.89	4.53	30.38	28.54	17.14	18.82	7.4	51.85	9.13	22.81	40.02	25.09	24.78	44.9	47.8	33.72	8.68	29.18	20.39	33.33	1.93	4.36	24.96	6.59	37.12	38.92	15.36	32.0	44.97
concord	20.84	30.72	20.49	31.6	16.18	20.71	34.41	31.88	59.25	34.88	29.61	26.36	37.79	0.0	36.19	21.91	44.88	27.0	25.16	28.3	44.69	24.25	33.26	34.74	9.25	21.5	18.97	45.19	56.21	28.66	22.96	2.23	29.45	13.01	7.11	10.01	4.07	29.11	29.33	17.4	37.69	39.72	42.15	29.32	44.38	41.48	43.28	22.43	5.79	49.33
daly_city	15.35	5.47	15.7	4.59	52.37	18.96	1.78	25.92	53.29	28.92	6.58	20.4	1.6	36.19	0.0	20.16	38.92	25.25	23.41	7.89	38.73	18.29	2.93	28.78	26.94	15.54	17.22	9.0	50.25	7.53	21.21	38.42	23.49	23.18	43.3	46.2	32.12	7.08	27.58	18.79	31.73	3.53	5.96	23.36	8.19	35.52	37.32	13.76	30.4	43.37
downtown_berkeley	4.81	14.69	4.46	15.57	38.09	1.2	18.38	15.85	43.22	18.85	13.58	10.33	21.76	21.91	20.16	0.0	28.85	5.09	3.25	12.27	28.66	8.22	17.23	18.71	12.66	5.47	2.94	29.16	40.18	12.63	1.05	24.14	13.42	8.9	29.02	31.92	17.84	13.08	7.42	4.51	21.66	23.69	26.12	13.29	28.35	25.45	27.25	6.4	16.12	33.3
dublin_pleasanton	24.04	33.45	24.39	34.33	61.06	27.65	37.14	13.0	40.37	10.0	32.34	18.52	40.52	44.88	38.92	28.85	0.0	33.94	32.1	31.03	25.81	20.63	35.99	15.86	35.63	23.38	25.91	47.92	37.33	31.39	29.9	47.11	21.61	31.87	51.99	54.89	40.81	31.84	36.27	27.48	18.81	42.45	44.88	15.56	47.11	22.6	1.6	25.16	39.09	30.45
el_cerrito_del_norte	9.9	19.78	9.55	20.66	43.18	6.29	23.47	20.94	48.31	23.94	18.67	15.42	26.85	27.0	25.25	5.09	33.94	0.0	1.84	17.36	33.75	13.31	22.32	23.8	17.75	10.56	8.03	34.25	45.27	17.72	4.04	29.23	18.51	13.99	34.11	37.01	22.93	18.17	2.33	9.6	26.75	28.78	31.21	18.38	33.44	30.54	32.34	11.49	21.21	38.39
el_cerrito_plaza	8.06	17.94	7.71	18.82	41.34	4.45	21.63	19.1	46.47	22.1	16.83	13.58	25.01	25.16	23.41	3.25	32.1	1.84	0.0	15.52	31.91	11.47	20.48	21.96	15.91	8.72	6.19	32.41	43.43	15.88	2.2	27.39	16.67	12.15	32.27	35.17	21.09	16.33	4.17	7.76	24.91	26.94	29.37	16.54	31.6	28.7	30.5	9.65	19.37	36.55
embarcadero	7.46	2.42	7.81	3.3	44.48	11.07	6.11	18.03	45.4	21.03	1.31	12.51	9.49	28.3	7.89	12.27	31.03	17.36	15.52	0.0	30.84	10.4	4.96	20.89	19.05	7.65	9.33	16.89	42.36	0.36	13.32	30.53	15.6	15.29	35.41	38.31	24.23	0.81	19.69	10.9	23.84	11.42	13.85	15.47	16.08	27.63	29.43	5.87	22.51	35.48
fremont	23.85	33.26	24.2	34.14	60.87	27.46	36.95	12.81	14.56	15.81	32.15	18.33	40.33	44.69	38.73	28.66	25.81	33.75	31.91	30.84	0.0	20.44	35.8	9.95	35.44	23.19	25.72	47.73	11.52	31.2	29.71	46.92	21.42	31.68	51.8	54.7	40.62	31.65	36.08	27.29	7.0	42.26	44.69	15.37	46.92	3.21	24.21	24.97	38.9	4.64
fruitvale	3.41	12.82	3.76	13.7	40.43	7.02	16.51	7.63	35.0	10.63	11.71	2.11	19.89	24.25	18.29	8.22	20.63	13.31	11.47	10.4	20.44	0.0	15.36	10.49	15.0	2.75	5.28	27.29	31.96	10.76	9.27	26.48	5.2	11.24	31.36	34.26	20.18	11.21	15.64	6.85	13.44	21.82	24.25	5.07	26.48	17.23	19.03	4.53	18.46	25.08
glen_park	12.42	2.54	12.77	1.66	49.44	16.03	1.15	22.99	50.36	25.99	3.65	17.47	4.53	33.26	2.93	17.23	35.99	22.32	20.48	4.96	35.8	15.36	0.0	25.85	24.01	12.61	14.29	11.93	47.32	4.6	18.28	35.49	20.56	20.25	40.37	43.27	29.19	4.15	24.65	15.86	28.8	6.46	8.89	20.43	11.12	32.59	34.39	10.83	27.47	40.44
hayward	13.9	23.31	14.25	24.19	50.92	17.51	27.0	2.86	24.51	5.86	22.2	8.38	30.38	34.74	28.78	18.71	15.86	23.8	21.96	20.89	9.95	10.49	25.85	0.0	25.49	13.24	15.77	37.78	21.47	21.25	19.76	36.97	11.47	21.73	41.85	44.75	30.67	21.7	26.13	17.34	2.95	32.31	34.74	5.42	36.97	6.74	14.26	15.02	28.95	14.59
lafayette	11.59	21.47	11.24	22.35	25.43	11.46	25.16	22.63	50.0	25.63	20.36	17.11	28.54	9.25	26.94	12.66	35.63	17.75	15.91	19.05	35.44	15.0	24.01	25.49	0.0	12.25	9.72	35.94	46.96	19.41	13.71	11.48	20.2	3.76	16.36	19.26	5.18	19.86	20.08	8.15	28.44	30.47	32.9	20.07	35.13	32.23	34.03	13.18	3.46	40.08
lake_merritt	0.66	10.07	1.01	10.95	37.68	4.27	13.76	10.38	37.75	13.38	8.96	4.86	17.14	21.5	15.54	5.47	23.38	10.56	8.72	7.65	23.19	2.75	12.61	13.24	12.25	0.0	2.53	24.54	34.71	8.01	6.52	23.73	7.95	8.49	28.61	31.51	17.43	8.46	12.89	4.1	16.19	19.07	21.5	7.82	23.73	19.98	21.78	1.78	15.71	27.83
macarthur	1.87	11.75	1.52	12.63	35.15	1.74	15.44	12.91	40.28	15.91	10.64	7.39	18.82	18.97	17.22	2.94	25.91	8.03	6.19	9.33	25.72	5.28	14.29	15.77	9.72	2.53	0.0	26.22	37.24	9.69	3.99	21.2	10.48	5.96	26.08	28.98	14.9	10.14	10.36	1.57	18.72	20.75	23.18	10.35	25.41	22.51	24.31	3.46	13.18	30.36
millbrae	24.35	14.47	24.7	13.59	61.37	27.96	10.78	34.92	62.29	37.92	15.58	29.4	7.4	45.19	9.0	29.16	47.92	34.25	32.41	16.89	47.73	27.29	11.93	37.78	35.94	24.54	26.22	0.0	59.25	16.53	30.21	47.42	32.49	32.18	52.3	55.2	41.12	16.08	36.58	27.79	40.73	5.47	3.04	32.36	1.82	44.52	46.32	22.76	39.4	52.37
milpitas	35.37	44.78	35.72	45.66	72.39	38.98	48.47	24.33	3.04	27.33	43.67	29.85	51.85	56.21	50.25	40.18	37.33	45.27	43.43	42.36	11.52	31.96	47.32	21.47	46.96	34.71	37.24	59.25	0.0	42.72	41.23	58.44	32.94	43.2	63.32	66.22	52.14	43.17	47.6	38.81	18.52	53.78	56.21	26.89	58.44	14.73	35.73	36.49	50.42	6.88
montgomery	7.82	2.06	8.17	2.94	44.84	11.43	5.75	18.39	45.76	21.39	0.95	12.87	9.13	28.66	7.53	12.63	31.39	17.72	15.88	0.36	31.2	10.76	4.6	21.25	19.41	8.01	9.69	16.53	42.72	0.0	13.68	30.89	15.96	15.65	35.77	38.67	24.59	0.45	20.05	11.26	24.2	11.06	13.49	15.83	15.72	27.99	29.79	6.23	22.87	35.84
n_berkeley	5.86	15.74	5.51	16.62	39.14	2.25	19.43	16.9	44.27	19.9	14.63	11.38	22.81	22.96	21.21	1.05	29.9	4.04	2.2	13.32	29.71	9.27	18.28	19.76	13.71	6.52	3.99	30.21	41.23	13.68	0.0	25.19	14.47	9.95	30.07	32.97	18.89	14.13	6.37	5.56	22.71	24.74	27.17	14.34	29.4	26.5	28.3	7.45	17.17	34.35
n_concord	23.07	32.95	22.72	33.83	13.95	22.94	36.64	34.11	61.48	37.11	31.84	28.59	40.02	2.23	38.42	24.14	47.11	29.23	27.39	30.53	46.92	26.48	35.49	36.97	11.48	23.73	21.2	47.42	58.44	30.89	25.19	0.0	31.68	15.24	4.88	7.78	6.3	31.34	31.56	19.63	39.92	41.95	44.38	31.55	46.61	43.71	45.51	24.66	8.02	51.56
oak	8.61	18.02	8.96	18.9	45.63	12.22	21.71	8.61	35.98	11.61	16.91	3.09	25.09	29.45	23.49	13.42	21.61	18.51	16.67	15.6	21.42	5.2	20.56	11.47	20.2	7.95	10.48	32.49	32.94	15.96	14.47	31.68	0.0	16.44	36.56	39.46	25.38	16.41	20.84	12.05	14.42	27.02	29.45	6.05	31.68	18.21	20.01	9.73	23.66	26.06
orinda	7.83	17.71	7.48	18.59	29.19	7.7	21.4	18.87	46.24	21.87	16.6	13.35	24.78	13.01	23.18	8.9	31.87	13.99	12.15	15.29	31.68	11.24	20.25	21.73	3.76	8.49	5.96	32.18	43.2	15.65	9.95	15.24	16.44	0.0	20.12	23.02	8.94	16.1	16.32	4.39	24.68	26.71	29.14	16.31	31.37	28.47	30.27	9.42	7.22	36.32
pittsburg_bay_point	27.95	37.83	27.6	38.71	9.07	27.82	41.52	38.99	66.36	41.99	36.72	33.47	44.9	7.11	43.3	29.02	51.99	34.11	32.27	35.41	51.8	31.36	40.37	41.85	16.36	28.61	26.08	52.3	63.32	35.77	30.07	4.88	36.56	20.12	0.0	2.9	11.18	36.22	36.44	24.51	44.8	46.83	49.26	36.43	51.49	48.59	50.39	29.54	12.9	56.44
pittsburg_center	30.85	40.73	30.5	41.61	6.17	30.72	44.42	41.89	69.26	44.89	39.62	36.37	47.8	10.01	46.2	31.92	54.89	37.01	35.17	38.31	54.7	34.26	43.27	44.75	19.26	31.51	28.98	55.2	66.22	38.67	32.97	7.78	39.46	23.02	2.9	0.0	14.08	39.12	39.34	27.41	47.7	49.73	52.16	39.33	54.39	51.49	53.29	32.44	15.8	59.34
pleasant_hill	16.77	26.65	16.42	27.53	20.25	16.64	30.34	27.81	55.18	30.81	25.54	22.29	33.72	4.07	32.12	17.84	40.81	22.93	21.09	24.23	40.62	20.18	29.19	30.67	5.18	17.43	14.9	41.12	52.14	24.59	18.89	6.3	25.38	8.94	11.18	14.08	0.0	25.04	25.26	13.33	33.62	35.65	38.08	25.25	40.31	37.41	39.21	18.36	1.72	45.26
powell	8.27	1.61	8.62	2.49	45.29	11.88	5.3	18.84	46.21	21.84	0.5	13.32	8.68	29.11	7.08	13.08	31.84	18.17	16.33	0.81	31.65	11.21	4.15	21.7	19.86	8.46	10.14	16.08	43.17	0.45	14.13	31.34	16.41	16.1	36.22	39.12	25.04	0.0	20.5	11.71	24.65	10.61	13.04	16.28	15.27	28.44	30.24	6.68	23.32	36.29
richmond	12.23	22.11	11.88	22.99	45.51	8.62	25.8	23.27	50.64	26.27	21.0	17.75	29.18	29.33	27.58	7.42	36.27	2.33	4.17	19.69	36.08	15.64	24.65	26.13	20.08	12.89	10.36	36.58	47.6	20.05	6.37	31.56	20.84	16.32	36.44	39.34	25.26	20.5	0.0	11.93	29.08	31.11	33.54	20.71	35.77	32.87	34.67	13.82	23.54	40.72
rockridge	3.44	13.32	3.09	14.2	33.58	3.31	17.01	14.48	41.85	17.48	12.21	8.96	20.39	17.4	18.79	4.51	27.48	9.6	7.76	10.9	27.29	6.85	15.86	17.34	8.15	4.1	1.57	27.79	38.81	11.26	5.56	19.63	12.05	4.39	24.51	27.41	13.33	11.71	11.93	0.0	20.29	22.32	24.75	11.92	26.98	24.08	25.88	5.03	11.61	31.93
s_hayward	16.85	26.26	17.2	27.14	53.87	20.46	29.95	5.81	21.56	8.81	25.15	11.33	33.33	37.69	31.73	21.66	18.81	26.75	24.91	23.84	7.0	13.44	28.8	2.95	28.44	16.19	18.72	40.73	18.52	24.2	22.71	39.92	14.42	24.68	44.8	47.7	33.62	24.65	29.08	20.29	0.0	35.26	37.69	8.37	39.92	3.79	17.21	17.97	31.9	11.64
s_san_francisco	18.88	9.0	19.23	8.12	55.9	22.49	5.31	29.45	56.82	32.45	10.11	23.93	1.93	39.72	3.53	23.69	42.45	28.78	26.94	11.42	42.26	21.82	6.46	32.31	30.47	19.07	20.75	5.47	53.78	11.06	24.74	41.95	27.02	26.71	46.83	49.73	35.65	10.61	31.11	22.32	35.26	0.0	2.43	26.89	4.66	39.05	40.85	17.29	33.93	46.9
san_bruno	21.31	11.43	21.66	10.55	58.33	24.92	7.74	31.88	59.25	34.88	12.54	26.36	4.36	42.15	5.96	26.12	44.88	31.21	29.37	13.85	44.69	24.25	8.89	34.74	32.9	21.5	23.18	3.04	56.21	13.49	27.17	44.38	29.45	29.14	49.26	52.16	38.08	13.04	33.54	24.75	37.69	2.43	0.0	29.32	2.23	41.48	43.28	19.72	36.36	49.33
san_leandro	8.48	17.89	8.83	18.77	45.5	12.09	21.58	2.56	29.93	5.56	16.78	2.96	24.96	29.32	23.36	13.29	15.56	18.38	16.54	15.47	15.37	5.07	20.43	5.42	20.07	7.82	10.35	32.36	26.89	15.83	14.34	31.55	6.05	16.31	36.43	39.33	25.25	16.28	20.71	11.92	8.37	26.89	29.32	0.0	31.55	12.16	13.96	9.6	23.53	20.01
sfo	23.54	13.66	23.89	12.78	60.56	27.15	9.97	34.11	61.48	37.11	14.77	28.59	6.59	44.38	8.19	28.35	47.11	33.44	31.6	16.08	46.92	26.48	11.12	36.97	35.13	23.73	25.41	1.82	58.44	15.72	29.4	46.61	31.68	31.37	51.49	54.39	40.31	15.27	35.77	26.98	39.92	4.66	2.23	31.55	0.0	43.71	45.51	21.95	38.59	51.56
union_city	20.64	30.05	20.99	30.93	57.66	24.25	33.74	9.6	17.77	12.6	28.94	15.12	37.12	41.48	35.52	25.45	22.6	30.54	28.7	27.63	3.21	17.23	32.59	6.74	32.23	19.98	22.51	44.52	14.73	27.99	26.5	43.71	18.21	28.47	48.59	51.49	37.41	28.44	32.87	24.08	3.79	39.05	41.48	12.16	43.71	0.0	21.0	21.76	35.69	7.85
w_dublin	22.44	31.85	22.79	32.73	59.46	26.05	35.54	11.4	38.77	8.4	30.74	16.92	38.92	43.28	37.32	27.25	1.6	32.34	30.5	29.43	24.21	19.03	34.39	14.26	34.03	21.78	24.31	46.32	35.73	29.79	28.3	45.51	20.01	30.27	50.39	53.29	39.21	30.24	34.67	25.88	17.21	40.85	43.28	13.96	45.51	21.0	0.0	23.56	37.49	28.85
w_oakland	1.59	8.29	1.94	9.17	38.61	5.2	11.98	12.16	39.53	15.16	7.18	6.64	15.36	22.43	13.76	6.4	25.16	11.49	9.65	5.87	24.97	4.53	10.83	15.02	13.18	1.78	3.46	22.76	36.49	6.23	7.45	24.66	9.73	9.42	29.54	32.44	18.36	6.68	13.82	5.03	17.97	17.29	19.72	9.6	21.95	21.76	23.56	0.0	16.64	29.61
walnut_creek	15.05	24.93	14.7	25.81	21.97	14.92	28.62	26.09	53.46	29.09	23.82	20.57	32.0	5.79	30.4	16.12	39.09	21.21	19.37	22.51	38.9	18.46	27.47	28.95	3.46	15.71	13.18	39.4	50.42	22.87	17.17	8.02	23.66	7.22	12.9	15.8	1.72	23.32	23.54	11.61	31.9	33.93	36.36	23.53	38.59	35.69	37.49	16.64	0.0	43.54
warm_springs	28.49	37.9	28.84	38.78	65.51	32.1	41.59	17.45	9.92	20.45	36.79	22.97	44.97	49.33	43.37	33.3	30.45	38.39	36.55	35.48	4.64	25.08	40.44	14.59	40.08	27.83	30.36	52.37	6.88	35.84	34.35	51.56	26.06	36.32	56.44	59.34	45.26	36.29	40.72	31.93	11.64	46.9	49.33	20.01	51.56	7.85	28.85	29.61	43.54	0.0
